noise_std,clip_threshold,epochs,learning_rate,Trial #,Mal. X-val,Mal. Y-val,MSE after attack,AVG MSE,Attack Success Rate
,,,,15,1,858,0.04785010737,,
,,,,16,3,526,0.1366009183,,
,,,,17,10,712,3.022799959,,
,,,,18,9,218,0.2434796986,,
,,,,19,3,866,0.3497992132,,
,,,,20,2,317,0.02895532445,,
,,,,21,4,391,0.1443573647,,
,,,,22,6,335,0.2468353732,,
,,,,23,10,694,2.885868374,,
,,,,24,3,923,0.3941986295,,
,,,,25,4,704,0.4341245933,,
,,,,26,2,659,0.09042161022,,
,,,,27,4,888,0.6860963312,,
,,,,28,1,312,0.01512271827,,
,,,,29,3,947,0.4126013061,,
,,,,30,7,501,0.7337185073,,
,,,,31,7,270,0.2256436805,,
,,,,32,7,217,0.1477949561,,
,,,,33,7,574,0.9658136288,,
,,,,34,8,550,1.161606531,,
,,,,35,6,260,0.1540948346,,
,,,,36,3,632,0.191591602,,
,,,,37,3,581,0.1633404005,,
,,,,38,4,810,0.5739227437,,
,,,,39,6,448,0.4293637466,,
,,,,40,6,314,0.2196176917,,
,,,,41,8,369,0.5295454876,,
,,,,42,6,394,0.3360672216,,
,,,,43,5,829,0.9650314238,,
,,,,44,5,777,0.8544877335,,
,,,,45,3,938,0.4073706239,,
,,,,46,6,596,0.7457822065,,
,,,,47,3,432,0.09805886519,,
,,,,48,3,348,0.06834199347,,
,,,,49,1,388,0.01798892803,,
,,,,50,5,849,1.013769756,,
5,0.5,100000,0.001,1,4,663,0.3881184912,0.8514575886,10.00%
,,,,2,6,717,1.074986271,,
,,,,3,4,630,0.3527490405,,
,,,,4,6,631,0.8341326766,,
,,,,5,1,317,0.01536258479,,
,,,,6,3,708,0.2378862193,,
,,,,7,3,558,0.1533137446,,
,,,,8,4,635,0.3572997409,,
,,,,9,9,826,3.289515246,,
,,,,10,4,586,0.3084838268,,
,,,,11,3,990,0.4515919787,,
,,,,12,2,438,0.04663913109,,
,,,,13,3,252,0.04081617172,,
,,,,14,5,628,0.5638494241,,
,,,,15,9,464,1.0549717,,
,,,,16,3,915,0.3853738793,,
,,,,17,7,997,2.850256376,,
,,,,18,1,799,0.04248837402,,
,,,,19,9,519,1.312864252,,
,,,,20,5,606,0.5241589022,,
,,,,21,6,698,1.017972924,,
,,,,22,7,810,1.881953883,,
,,,,23,2,653,0.08904226492,,
,,,,24,5,508,0.375045619,,
,,,,25,1,529,0.02462709068,,
,,,,26,10,897,4.788110935,,
,,,,27,5,603,0.518100263,,
,,,,28,5,490,0.3491401161,,
,,,,29,1,897,0.05088603704,,
,,,,30,7,548,0.8761019829,,
,,,,31,7,627,1.142298977,,
,,,,32,8,791,2.370307665,,
,,,,33,3,929,0.3989031237,,
,,,,34,10,286,0.5063767178,,
,,,,35,1,918,0.05293123135,,
,,,,36,7,665,1.280088795,,
,,,,37,5,622,0.5550098813,,
,,,,38,4,847,0.6242281584,,
,,,,39,2,356,0.03430660137,,
,,,,40,6,538,0.6146045338,,
,,,,41,4,211,0.050879498,,
,,,,42,5,886,1.106164815,,
,,,,43,8,530,1.079740801,,
,,,,44,5,856,1.037216447,,
,,,,45,6,652,0.8903569998,,
,,,,46,1,830,0.04494862371,,
,,,,47,10,812,3.923598272,,
,,,,48,10,235,0.3470016108,,
,,,,49,8,546,1.144341215,,
,,,,50,9,477,1.113736315,,
5,2,200000,0.001,1,1,704,0.03543327823,0.8995638188,20.00%
,,,,2,1,576,0.02721838144,,
,,,,3,7,594,1.024234664,,
,,,,4,1,895,0.05096372047,,
,,,,5,7,886,2.250051516,,
,,,,6,7,519,0.7867239019,,
,,,,7,5,741,0.777036481,,
,,,,8,5,880,1.086192389,,
,,,,9,3,607,0.1789277938,,
,,,,10,8,298,0.3512180604,,
,,,,11,2,373,0.0375029036,,
,,,,12,1,208,0.01248521375,,
,,,,13,4,369,0.1280330468,,
,,,,14,4,786,0.5395214872,,
,,,,15,2,263,0.02383170886,,
,,,,16,3,651,0.20342811,,
,,,,17,7,363,0.3945948011,,
,,,,18,7,709,1.451618615,,
,,,,19,4,340,0.1118121869,,
,,,,20,6,681,0.9678902481,,
,,,,21,9,299,0.4475759907,,
,,,,22,7,945,2.555424065,,
,,,,23,6,657,0.906244131,,
,,,,24,2,306,0.02840037708,,
,,,,25,10,846,4.253230864,,
,,,,26,8,737,2.058156837,,
,,,,27,6,292,0.1895191246,,
,,,,28,4,769,0.5194455505,,
,,,,29,7,591,1.008957646,,
,,,,30,8,906,3.101105111,,
,,,,31,3,353,0.06959624048,,
,,,,32,5,420,0.2613707777,,
,,,,33,8,564,1.21691877,,
,,,,34,9,348,0.6027042505,,
,,,,35,7,976,2.727927754,,
,,,,36,2,636,0.08563394528,,
,,,,37,6,517,0.5665507524,,
,,,,38,8,466,0.8325215056,,
,,,,39,4,589,0.3125984125,,
,,,,40,1,437,0.01969909321,,
,,,,41,1,974,0.05891873829,,
,,,,42,2,652,0.08827699826,,
,,,,43,10,579,2.007124023,,
,,,,44,3,582,0.1643604254,,
,,,,45,1,232,0.01285032114,,
,,,,46,7,565,0.9322250259,,
,,,,47,8,730,2.027807651,,
,,,,48,9,876,3.691195649,,
,,,,49,5,926,1.205170901,,
,,,,50,10,659,2.587961499,,
5,2,50000,0.001,1,4,865,0.6522889655,0.781261846,10.00%
,,,,2,8,599,1.375719772,,
,,,,3,10,926,5.101092255,,
,,,,4,5,303,0.1412158158,,
,,,,5,2,796,0.1267178745,,
,,,,6,10,257,0.4123830624,,
,,,,7,1,842,0.0467683617,,
,,,,8,8,648,1.597184348,,
,,,,9,10,858,4.38272001,,
,,,,10,1,377,0.01744094634,,
,,,,11,2,278,0.02563263297,,
,,,,12,1,582,0.0275858609,,
,,,,13,7,967,2.676672123,,
,,,,14,3,608,0.1782468543,,
,,,,15,3,440,0.09991725154,,
,,,,16,5,977,1.342014184,,
,,,,17,3,733,0.2546133304,,
,,,,18,6,221,0.1158958224,,
,,,,19,1,446,0.02053390082,,
,,,,20,5,442,0.2857688162,,
,,,,21,9,345,0.5932830104,,
,,,,22,3,627,0.1902490554,,
,,,,23,8,236,0.2273159946,,
,,,,24,9,279,0.3906870525,,
,,,,25,10,483,1.4083975,,
,,,,26,4,277,0.07899314254,,
,,,,27,7,304,0.2803740458,,
,,,,28,6,450,0.4329066799,,
,,,,29,8,404,0.6309882516,,
,,,,30,2,676,0.09370658466,,
,,,,31,5,242,0.09370296166,,
,,,,32,6,847,1.495948323,,
,,,,33,10,386,0.9044873227,,
,,,,34,3,639,0.1947667911,,
,,,,35,2,272,0.02447903335,,
,,,,36,1,272,0.01409018313,,
,,,,37,5,481,0.3372943294,,
,,,,38,4,554,0.2755706737,,
